trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.44699999999999995, 'e': 0.58860496967835518}",35,0,-57.707112947002166,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.44649999999999995, 'e': 0.58566929014479374}",20,4,-34.412510752009496,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
108,False,"{'a': 0.44599999999999995, 'e': 0.58274825237398964}",25,7,-55.43977233143461,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
109,False,"{'a': 0.44549999999999995, 'e': 0.57984178333984637}",25,4,5.095036503378452,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.44499999999999995, 'e': 0.57694981038048665}",30,13,-8.023290433073651,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
111,False,"{'a': 0.44449999999999995, 'e': 0.57407226119643595}",30,12,-17.560793830972397,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
112,False,"{'a': 0.44399999999999995, 'e': 0.57120906384881487}",30,0,-8.83315987632038,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
113,False,"{'a': 0.44349999999999995, 'e': 0.56836014675754043}",20,9,-50.74515721285351,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.44299999999999995, 'e': 0.56552543869953709}",35,22,-16.012310661150646,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.44249999999999995, 'e': 0.56270486880695569}",25,0,-18.738271524412276,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
116,False,"{'a': 0.44199999999999995, 'e': 0.55989836656540204}",25,15,7.023849364258988,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.44149999999999995, 'e': 0.55710586181217392}",30,0,-79.29395898986496,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
118,False,"{'a': 0.44099999999999995, 'e': 0.5543272847345071}",20,0,-33.51165663817253,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.44049999999999995, 'e': 0.55156256586782981}",20,0,-10.502828875302768,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
120,False,"{'a': 0.43999999999999995, 'e': 0.5488116360940265}",35,8,-46.96935526569584,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.43949999999999995, 'e': 0.5460744266397094}",25,8,11.550035821444991,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.43899999999999995, 'e': 0.54335086907449981}",25,18,12.047433654771957,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.43849999999999995, 'e': 0.54064089530931658}",25,0,-46.25999659930341,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
124,False,"{'a': 0.43799999999999994, 'e': 0.53794443759467447}",25,0,-34.22717987715341,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.43749999999999994, 'e': 0.53526142851899028}",20,2,1.9920692185587927,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.43699999999999994, 'e': 0.53259180100689718}",20,0,-40.19248242087894,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.43649999999999994, 'e': 0.52993548831756854}",20,14,1.344505870799038,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.43599999999999994, 'e': 0.52729242404304855}",20,0,-27.58847633040448,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
129,False,"{'a': 0.43549999999999994, 'e': 0.52466254210659291}",25,14,6.937468718290153,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.43499999999999994, 'e': 0.52204577676101604}",20,4,12.78347672263605,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.43449999999999994, 'e': 0.51944206258704817}",25,10,18.44472728212232,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.43399999999999994, 'e': 0.51685133449169918}",25,0,-92.09921007299666,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
133,False,"{'a': 0.43349999999999994, 'e': 0.51427352770663193}",20,0,-28.484117495324732,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
134,False,"{'a': 0.43299999999999994, 'e': 0.51170857778654244}",20,0,-68.7228438989656,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
135,False,"{'a': 0.43249999999999994, 'e': 0.50915642060754918}",30,0,-32.51615647434534,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
